sku,name,type,price,description
JAF-001,nutellaphone who dis?,ItemType.JAFFLE,1100,nutella and banana jaffle
JAF-002,doctor stew,ItemType.JAFFLE,1100,house-made beef stew jaffle
JAF-003,the krautback,ItemType.JAFFLE,1200,lamb and pork bratwurst with house-pickled cabbage sauerkraut and mustard
JAF-004,flame impala,ItemType.JAFFLE,1400,"pulled pork and pineapple al pastor marinated in ghost pepper sauce, kevin parker's favorite! "
JAF-005,mel-bun,ItemType.JAFFLE,1200,"melon and minced beef bao, in a jaffle, savory and sweet"
BEV-001,tangaroo,ItemType.BEVERAGE,600,mango and tangerine smoothie
BEV-002,chai and mighty,ItemType.BEVERAGE,500,oatmilk chai latte with protein boost
BEV-003,vanilla ice,ItemType.BEVERAGE,600,iced coffee with house-made french vanilla syrup
BEV-004,for richer or pourover ,ItemType.BEVERAGE,700,daily selection of single estate beans for a delicious hot pourover
BEV-005,adele-ade,ItemType.BEVERAGE,400,"a kiwi and lime agua fresca, hello from the other side of thirst"
